2026-07-21 21:56:56,285 | INFO | tool_registry | [----------] Registrando tool servidor: instagram_post_media
2026-07-21 21:56:56,285 | INFO | tool_registry | [----------] Registrando tool servidor: instagram_get_engagement
2026-07-21 21:56:56,287 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.comfy_tools
2026-07-21 21:56:56,288 | INFO | tool_registry | [----------] Registrando tool servidor: comfy_load_workflow
2026-07-21 21:56:56,288 | INFO | tool_registry | [----------] Registrando tool servidor: comfy_generate_image
2026-07-21 21:56:56,290 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.mail_tools
2026-07-21 21:56:56,290 | INFO | tool_registry | [----------] Registrando tool servidor: mail_receive_mock_emails
2026-07-21 21:56:56,291 | INFO | tool_registry | [----------] Registrando tool servidor: mail_classify_emails
2026-07-21 21:56:56,291 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_unread_summary
2026-07-21 21:56:56,291 | INFO | tool_registry | [----------] Registrando tool servidor: mail_list_emails
2026-07-21 21:56:56,291 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_email
2026-07-21 21:56:56,292 | INFO | tool_registry | [----------] Registrando tool servidor: mail_open_ui
2026-07-21 21:56:56,292 | INFO | tool_registry | [----------] Registrando tool servidor: mail_close_ui
2026-07-21 21:56:56,292 | INFO | tool_registry | [----------] Registrando tool servidor: mail_send_email
2026-07-21 21:56:56,292 | INFO | tool_registry | [----------] Registrando tool servidor: mail_delete_email
2026-07-21 21:56:56,292 | INFO | tool_registry | [----------] Registrando tool servidor: mail_reply_email
2026-07-21 21:56:56,293 | INFO | tool_registry | [----------] Registrando tool servidor: mail_forward_email
2026-07-21 21:56:56,293 | INFO | tool_registry | [----------] Registrando tool servidor: mail_generate_draft
2026-07-21 21:56:56,293 | INFO | tool_registry | [----------] Registrando tool servidor: mail_set_invoice_folder
2026-07-21 21:56:56,294 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.memory_tools
2026-07-21 21:56:56,294 | INFO | tool_registry | [----------] Registrando tool servidor: save_user_preference
2026-07-21 21:56:56,294 | INFO | tool_registry | [----------] Registrando tool servidor: forget_user_fact
