2026-06-04 11:16:42,968 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.list
2026-06-06 11:05:21,997 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.find_on_screen
2026-06-06 11:05:21,998 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_list
2026-06-06 11:05:21,998 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_focus
2026-06-06 11:05:21,998 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_close
2026-06-06 11:05:21,998 | INFO | agent.registry | [----------] Agente iniciado: computer (eventos: ['computer.screenshot', 'computer.mouse_move', 'computer.mouse_click', 'computer.mouse_drag', 'computer.keyboard_type', 'computer.keyboard_hotkey', 'computer.ocr_screenshot', 'computer.ocr_image', 'computer.find_on_screen', 'computer.window_list', 'computer.window_focus', 'computer.window_close'])
2026-06-06 11:05:21,998 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.send
2026-06-06 11:05:21,998 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.read
2026-06-06 11:05:21,998 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.search
2026-06-06 11:05:21,998 | INFO | agent.registry | [----------] Agente iniciado: mail (eventos: ['mail.send', 'mail.read', 'mail.search'])
2026-06-06 11:05:21,999 | INFO | agent.automation | [----------] Registrado en EventBus para evento: automation.run_pipeline
2026-06-06 11:05:21,999 | INFO | agent.automation | [----------] Registrado en EventBus para evento: automation.schedule
2026-06-06 11:05:21,999 | INFO | agent.registry | [----------] Agente iniciado: automation (eventos: ['automation.run_pipeline', 'automation.schedule'])
2026-06-06 11:05:21,999 | INFO | agent.chat | [----------] Registrado en EventBus para evento: chat.respond
2026-06-06 11:05:21,999 | INFO | agent.registry | [----------] Agente iniciado: chat (eventos: ['chat.respond'])
2026-06-06 11:05:21,999 | INFO | agent.registry | [----------] AgentRegistry: 7 agentes registrados
2026-06-06 11:34:06,939 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.create
2026-06-06 11:34:06,940 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.read
2026-06-06 11:34:06,940 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.append
2026-06-06 11:34:06,940 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.list
2026-06-06 11:34:06,940 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.delete
